sal_code,sal_name,population,median_weekly_rent,crime_incidents,crime_rate,train_station,num_stops,transport_frequency
SAL20247,Birregurra,942,300,21,0.022292993630573247,1,5,405
SAL20248,Bittern,4276,366,92,0.021515434985968196,1,12,437
SAL20249,Black Hill,2124,290,169,0.0795668549905838,0,13,206
SAL20250,Black Range,274,200,5,0.01824817518248175,0,0,0
SAL20251,Black Rock,6389,541,169,0.026451713883236812,0,25,254
SAL20252,Blackburn,14478,411,539,0.037228899019201546,2,85,4800
SAL20253,Blackburn North,7627,431,277,0.0363183427297758,0.5,43,304
SAL20254,Blackburn South,10939,410,331,0.030258707377273975,0.5,47,798
SAL20255,Blackwarry,38,0,1,0.02631578947368421,0,0,0
SAL20256,Blackwood,387,305,18,0.046511627906976744,0,0,0
SAL20257,Blairgowrie,2786,400,118,0.04235463029432879,0,34,235
SAL20258,Blakeville,43,250,2,0.046511627906976744,0,0,0
SAL20259,Blampied,237,325,3,0.012658227848101266,0,4,62
SAL20260,Blind Bight,1290,360,20,0.015503875968992248,0,11,111
SAL20261,Blowhard,82,150,5,0.06097560975609756,0,0,0
SAL20262,Bo Peep,25,175,1,0.04,0,0,0
SAL20263,Bobinawarrah,100,300,0,0.0,0,0,0
SAL20264,Bochara,84,180,14,0.16666666666666666,0,0,0
SAL20265,Bogong,8,180,0,0.0,0,0,0
SAL20266,Boho,88,0,0,0.0,0,0,0
SAL20267,Boho South,93,175,2,0.021505376344086023,0,0,0
SAL20268,Boigbeat,19,150,1,0.05263157894736842,0,0,0
SAL20269,Boinka,14,0,1,0.07142857142857142,0,1,10
SAL20270,Boisdale,307,200,9,0.029315960912052116,0,0,0
SAL20271,Bolangum,4,0,0,0.0,0,0,0
SAL20272,Bolinda,185,550,5,0.02702702702702703,0,0,0
SAL20273,Bolton,15,0,0,0.0,0,0,0
SAL20274,Bolwarra,647,220,35,0.05409582689335394,0,2,5
SAL20275,Bolwarrah,48,250,0,0.0,0,0,0
SAL20276,Bona Vista,107,285,7,0.06542056074766354,0,0,0
SAL20277,Bonang,52,0,2,0.038461538461538464,0,0,0
SAL20278,Bonbeach,6855,391,259,0.03778264040846098,1,12,4650
SAL20279,Bonegilla,610,225,17,0.027868852459016394,0,0,0
SAL20280,Boneo,314,400,16,0.050955414012738856,0,0,0
SAL20281,Bonn,48,0,0,0.0,0,0,0
SAL20282,Bonnie Brook,333,381,0,0.0,0,0,0
